Profile Summary
Generated on: 2021-04-29 20:54:42
Msec since Epoch: 1619729682043
Target platform: 
Tool version: 2020.2
XRT build version: 2.8.0
Build version branch: 2020.2
Build version hash: f19a872233fbfe2eb933f25fa3d9a780ced774e5
Build version date: N/A 
Target devices: edge-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateProgramWithBinary,1,86.5499,86.5499,86.5499,86.5499,
clFinish,16,72.7758,0.02059,4.54849,63.3218,
clCreateKernel,4,16.6469,3.87967,4.16172,4.61138,
clCreateContext,1,12.8874,12.8874,12.8874,12.8874,
clCreateBuffer,16,10.3045,0.05883,0.644028,2.14388,
clEnqueueMigrateMemObjects,12,3.70115,0.19188,0.308429,0.51496,
clReleaseKernel,4,3.57674,0.58174,0.894185,1.64257,
clEnqueueUnmapMemObject,16,3.56892,0.17763,0.223058,0.48877,
clReleaseProgram,1,2.66772,2.66772,2.66772,2.66772,
clEnqueueMapBuffer,16,1.70828,0.05957,0.106768,0.67317,
clEnqueueTask,4,1.66855,0.27868,0.417137,0.80935,
clReleaseMemObject,48,1.29786,0.02113,0.0270388,0.24227,
clRetainMemObject,32,0.72268,0.02109,0.0225837,0.03413,
clSetKernelArg,16,0.57598,0.02306,0.0359988,0.19573,
clGetPlatformInfo,2,0.37308,0.02258,0.18654,0.3505,
clReleaseContext,1,0.21255,0.21255,0.21255,0.21255,
clGetPlatformIDs,2,0.15958,0.02513,0.07979,0.13445,
clReleaseCommandQueue,4,0.1245,0.02333,0.031125,0.05202,
clCreateCommandQueue,4,0.11895,0.02668,0.0297375,0.03718,
clGetDeviceIDs,2,0.05389,0.02169,0.026945,0.0322,
clReleaseDevice,2,0.04759,0.0218,0.023795,0.02579,
clGetDeviceInfo,1,0.04477,0.04477,0.04477,0.04477,
clRetainDevice,2,0.04376,0.02078,0.02188,0.02298,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
krnl_LZW,1,64.8634,64.8634,64.8634,64.8634,
krnl_LZW,1,62.2377,62.2377,62.2377,62.2377,
krnl_LZW,1,61.088,61.088,61.088,61.088,
krnl_LZW,1,74.9388,74.9388,74.9388,74.9388,


Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,4,7372.907085,76.801115,1639.2,0.889310,0.222327,
context0:1,WRITE,24,8535.513648,88.911600,546.333,1.536170,0.064007,


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
187651015150848,krnl_LZW,0,3,edge-0,28156.3,74.9388,1:1:1,1:1:1,
187651015122176,krnl_LZW,0,0,edge-0,28154.9,64.8634,1:1:1,1:1:1,
187651015149920,krnl_LZW,0,1,edge-0,28155.5,62.2377,1:1:1,1:1:1,
187651015150128,krnl_LZW,0,2,edge-0,28155.9,61.088,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
1100996608,0,0,28237.3,0.139710,0.2,1.431537,
1611661312,0,0,28236.7,0.124600,819.2,6574.638844,
1611661312,0,0,28150.8,0.117200,819.2,6989.761092,
1621098496,0,3,28154.1,0.105200,819.2,7787.072243,
1617952768,0,2,28153.1,0.104650,819.2,7827.998089,
1614807040,0,1,28152.1,0.104490,819.2,7839.984687,
1100996608,0,0,28150.2,0.103070,0.2,1.940429,
1617952768,0,2,28238.7,0.096580,819.2,8482.087389,
1614807040,0,1,28237.8,0.096510,819.2,8488.239561,
1621098496,0,3,28239.6,0.096210,819.2,8514.707411,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
1612709888,0,0,28220.2,0.305510,1639.2,5365.454486,
1615855616,0,1,28221.1,0.195710,1639.2,8375.657861,
1619001344,0,2,28221.9,0.194140,1639.2,8443.391367,
1622147072,0,3,28231.7,0.193950,1639.2,8451.662800,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,edge-0,76.423550,
CU_CALLS,edge-0|krnl_LZW_1,1,
CU_CALLS,edge-0|krnl_LZW_2,1,
CU_CALLS,edge-0|krnl_LZW_3,1,
CU_CALLS,edge-0|krnl_LZW_4,1,
NUM_MONITORS,edge-0|XCL_PERF_MON_ACCEL|0,0,
NUM_MONITORS,edge-0|XCL_PERF_MON_MEMORY|0,0,
NUM_MONITORS,edge-0|XCL_PERF_MON_STR|0,0,
MIGRATE_MEM,host,12,
MEMORY_USAGE,edge-0|HP0,1,
MEMORY_USAGE,edge-0|HP1,1,
MEMORY_USAGE,edge-0|HP2,1,
MEMORY_USAGE,edge-0|HP3,1,
MEMORY_USAGE,edge-0|HPC0,0,
MEMORY_USAGE,edge-0|HPC1,0,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,krnl_LZW_1/m_axi_gmem,64,
PORT_BIT_WIDTH,krnl_LZW_2/m_axi_gmem,64,
PORT_BIT_WIDTH,krnl_LZW_3/m_axi_gmem,64,
PORT_BIT_WIDTH,krnl_LZW_4/m_axi_gmem,64,
KERNEL_COUNT,krnl_LZW,4,
OBJECTS_RELEASED,all,1,
TRACE_MEMORY,all,FIFO,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,krnl_LZW,1,
COMMAND_QUEUE_OOO,187651015115232,1,
COMMAND_QUEUE_OOO,187651015177680,1,
COMMAND_QUEUE_OOO,187651015178384,1,
COMMAND_QUEUE_OOO,187651015179344,1,
KERNEL_BUFFER_INFO,krnl_LZW|input_r|HP0|1,819200,
KERNEL_BUFFER_INFO,krnl_LZW|input_length|HP0|1,200,
KERNEL_BUFFER_INFO,krnl_LZW|send_data|HP0|1,1638800,
KERNEL_BUFFER_INFO,krnl_LZW|output_length|HP0|1,400,
KERNEL_BUFFER_INFO,krnl_LZW|input_r|HP0|1,819200,
KERNEL_BUFFER_INFO,krnl_LZW|input_length|HP0|1,200,
KERNEL_BUFFER_INFO,krnl_LZW|send_data|HP0|1,1638800,
KERNEL_BUFFER_INFO,krnl_LZW|output_length|HP0|1,400,
KERNEL_BUFFER_INFO,krnl_LZW|input_r|HP0|1,819200,
KERNEL_BUFFER_INFO,krnl_LZW|input_length|HP0|1,200,
KERNEL_BUFFER_INFO,krnl_LZW|send_data|HP0|1,1638800,
KERNEL_BUFFER_INFO,krnl_LZW|output_length|HP0|1,400,
KERNEL_BUFFER_INFO,krnl_LZW|input_r|HP0|1,819200,
KERNEL_BUFFER_INFO,krnl_LZW|input_length|HP0|1,200,
KERNEL_BUFFER_INFO,krnl_LZW|send_data|HP0|1,1638800,
KERNEL_BUFFER_INFO,krnl_LZW|output_length|HP0|1,400,
MEMORY_TYPE_BIT_WIDTH,edge-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,edge-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,edge-0|PLRAM,512,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,data_transfer_trace,fine,
XRT_INI_SETTING,launch_waveform,batch,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,profile,1,
XRT_INI_SETTING,stall_trace,all,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
BUFFER_RD_ACTIVE_TIME_MS,all,0.88931,
BUFFER_WR_ACTIVE_TIME_MS,all,1.53617,
BUFFER_TX_ACTIVE_TIME_MS,all,90.1071,
APPLICATION_RUN_TIME_MS,all,28302.6,
TOTAL_KERNEL_RUN_TIME_MS,all,76.4235,


