Timeline Trace
Generated on: 2021-04-29 03:25:04
Msec since Epoch: 1619666704112
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.8.0
Build version branch: 2020.2
Build version hash: f19a872233fbfe2eb933f25fa3d9a780ced774e5
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
17.29032,clGetPlatformIDs|General,START,,,,,,,,,,,0,
17.40037,clGetPlatformIDs|General,END,,,,,,,,,,,0,
17.44312,clGetPlatformIDs|General,START,,,,,,,,,,,1,
17.46848,clGetPlatformIDs|General,END,,,,,,,,,,,1,
17.49823,clGetPlatformInfo|General,START,,,,,,,,,,,2,
17.52487,clGetPlatformInfo|General,END,,,,,,,,,,,2,
17.54605,clGetPlatformInfo|General,START,,,,,,,,,,,3,
17.56779,clGetPlatformInfo|General,END,,,,,,,,,,,3,
17.67311,clGetDeviceIDs|General,START,,,,,,,,,,,4,
17.70575,clGetDeviceIDs|General,END,,,,,,,,,,,4,
17.72769,clGetDeviceIDs|General,START,,,,,,,,,,,5,
17.74935,clGetDeviceIDs|General,END,,,,,,,,,,,5,
17.77558,clRetainDevice|General,START,,,,,,,,,,,6,
17.79883,clRetainDevice|General,END,,,,,,,,,,,6,
17.81993,clRetainDevice|General,START,,,,,,,,,,,7,
17.84092,clRetainDevice|General,END,,,,,,,,,,,7,
17.86457,clCreateContext|General,START,,,,,,,,,,,8,
30.17363,clCreateContext|General,END,,,,,,,,,,,8,
47.96536,clCreateProgramWithBinary|General,START,,,,,,,,,,,9,
136.29491,clCreateProgramWithBinary|General,END,,,,,,,,,,,9,
136.41389,clGetDeviceInfo|General,START,,,,,,,,,,,10,
136.45916,clGetDeviceInfo|General,END,,,,,,,,,,,10,
136.57582,clCreateKernel|General,START,,,,,,,,,,,11,
140.6226,clCreateKernel|General,END,,,,,,,,,,,11,
140.6546,clCreateCommandQueue|General,START,,,,,,,,,,,12,
140.69509,clCreateCommandQueue|General,END,,,,,,,,,,,12,
140.71869,clCreateKernel|General,START,,,,,,,,,,,13,
144.46559,clCreateKernel|General,END,,,,,,,,,,,13,
144.49036,clCreateCommandQueue|General,START,,,,,,,,,,,14,
144.51753,clCreateCommandQueue|General,END,,,,,,,,,,,14,
144.53982,clCreateKernel|General,START,,,,,,,,,,,15,
148.25863,clCreateKernel|General,END,,,,,,,,,,,15,
148.28291,clCreateCommandQueue|General,START,,,,,,,,,,,16,
148.30973,clCreateCommandQueue|General,END,,,,,,,,,,,16,
148.33223,clCreateKernel|General,START,,,,,,,,,,,17,
152.01073,clCreateKernel|General,END,,,,,,,,,,,17,
152.03488,clCreateCommandQueue|General,START,,,,,,,,,,,18,
152.06049,clCreateCommandQueue|General,END,,,,,,,,,,,18,
152.0828,clCreateKernel|General,START,,,,,,,,,,,19,
155.80878,clCreateKernel|General,END,,,,,,,,,,,19,
155.83364,clCreateCommandQueue|General,START,,,,,,,,,,,20,
155.86001,clCreateCommandQueue|General,END,,,,,,,,,,,20,
164.77293,clCreateBuffer|General,START,,,,,,,,,,,21,
166.37181,clCreateBuffer|General,END,,,,,,,,,,,21,
166.40386,clCreateBuffer|General,START,,,,,,,,,,,22,
167.46197,clCreateBuffer|General,END,,,,,,,,,,,22,
167.48965,clCreateBuffer|General,START,,,,,,,,,,,23,
167.56407,clCreateBuffer|General,END,,,,,,,,,,,23,
167.58856,clCreateBuffer|General,START,,,,,,,,,,,24,
167.64869,clCreateBuffer|General,END,,,,,,,,,,,24,
