Timeline Trace
Generated on: 2021-04-29 08:12:13
Msec since Epoch: 1619683933706
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.8.0
Build version branch: 2020.2
Build version hash: f19a872233fbfe2eb933f25fa3d9a780ced774e5
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
16.687,clGetPlatformIDs|General,START,,,,,,,,,,,0,
16.7966,clGetPlatformIDs|General,END,,,,,,,,,,,0,
16.8354,clGetPlatformIDs|General,START,,,,,,,,,,,1,
16.86076,clGetPlatformIDs|General,END,,,,,,,,,,,1,
16.88965,clGetPlatformInfo|General,START,,,,,,,,,,,2,
16.91609,clGetPlatformInfo|General,END,,,,,,,,,,,2,
16.93778,clGetPlatformInfo|General,START,,,,,,,,,,,3,
16.95961,clGetPlatformInfo|General,END,,,,,,,,,,,3,
17.05168,clGetDeviceIDs|General,START,,,,,,,,,,,4,
17.08416,clGetDeviceIDs|General,END,,,,,,,,,,,4,
17.10578,clGetDeviceIDs|General,START,,,,,,,,,,,5,
17.1273,clGetDeviceIDs|General,END,,,,,,,,,,,5,
17.15378,clRetainDevice|General,START,,,,,,,,,,,6,
17.17678,clRetainDevice|General,END,,,,,,,,,,,6,
17.19817,clRetainDevice|General,START,,,,,,,,,,,7,
17.21866,clRetainDevice|General,END,,,,,,,,,,,7,
17.24336,clCreateContext|General,START,,,,,,,,,,,8,
29.26332,clCreateContext|General,END,,,,,,,,,,,8,
46.47348,clCreateProgramWithBinary|General,START,,,,,,,,,,,9,
126.42154,clCreateProgramWithBinary|General,END,,,,,,,,,,,9,
126.53652,clCreateCommandQueue|General,START,,,,,,,,,,,10,
126.59242,clCreateCommandQueue|General,END,,,,,,,,,,,10,
126.62016,clCreateKernel|General,START,,,,,,,,,,,11,
130.43808,clCreateKernel|General,END,,,,,,,,,,,11,
130.50124,clCreateBuffer|General,START,,,,,,,,,,,12,
131.43298,clCreateBuffer|General,END,,,,,,,,,,,12,
131.46144,clCreateBuffer|General,START,,,,,,,,,,,13,
131.68553,clCreateBuffer|General,END,,,,,,,,,,,13,
131.71217,clCreateBuffer|General,START,,,,,,,,,,,14,
131.77528,clCreateBuffer|General,END,,,,,,,,,,,14,
131.79984,clCreateBuffer|General,START,,,,,,,,,,,15,
131.85589,clCreateBuffer|General,END,,,,,,,,,,,15,
131.8856,clEnqueueMapBuffer|187651718594416,START,,,,,,,,,,,16,
132.44288,clEnqueueMapBuffer|187651718594416,END,,,,,,,,,,,16,
132.47489,clEnqueueMapBuffer|187651718594416,START,,,,,,,,,,,17,
132.53952,clEnqueueMapBuffer|187651718594416,END,,,,,,,,,,,17,
132.56814,clEnqueueMapBuffer|187651718594416,START,,,,,,,,,,,18,
132.6342,clEnqueueMapBuffer|187651718594416,END,,,,,,,,,,,18,
42178.93966,clEnqueueMapBuffer|187651718594416,START,,,,,,,,,,,19,
42179.29386,clEnqueueMapBuffer|187651718594416,END,,,,,,,,,,,19,
42179.37461,clSetKernelArg|General,START,,,,,,,,,,,20,
42179.43432,clSetKernelArg|General,END,,,,,,,,,,,20,
42179.45705,clSetKernelArg|General,START,,,,,,,,,,,21,
42179.48322,clSetKernelArg|General,END,,,,,,,,,,,21,
42179.50381,clSetKernelArg|General,START,,,,,,,,,,,22,
42179.52816,clSetKernelArg|General,END,,,,,,,,,,,22,
42179.54923,clSetKernelArg|General,START,,,,,,,,,,,23,
42179.5733,clSetKernelArg|General,END,,,,,,,,,,,23,
42179.59918,clRetainMemObject|General,START,,,,,,,,,,,24,
42179.62802,clRetainMemObject|General,END,,,,,,,,,,,24,
42179.64947,clRetainMemObject|General,START,,,,,,,,,,,25,
42179.67187,clRetainMemObject|General,END,,,,,,,,,,,25,
42179.69307,clRetainMemObject|General,START,,,,,,,,,,,26,
42179.7154,clRetainMemObject|General,END,,,,,,,,,,,26,
42179.73634,clRetainMemObject|General,START,,,,,,,,,,,27,
42179.75789,clRetainMemObject|General,END,,,,,,,,,,,27,
42179.78359,clEnqueueMigrateMemObjects|187651718594416,START,,,,,,,,,,,28,
42179.85397,WRITE_BUFFER,QUEUE,0X5fc64000|HP0,8194,,,,,,,,,
42179.91013,WRITE_BUFFER,SUBMIT,0X5fc64000|HP0,8194,,,,,,,,,
42179.95797,clEnqueueMigrateMemObjects|187651718594416,END,,,,,,,,,,,28,
42179.99095,clReleaseMemObject|General,START,,,,,,,,,,,29,
42180.01417,WRITE_BUFFER,START,0X5fc64000|HP0|0Xffffadcd4170,8194,,,,,,,4,None,
42180.0265,clReleaseMemObject|General,END,,,,,,,,,,,29,
42180.19872,clReleaseMemObject|General,START,,,,,,,,,,,30,
42180.22311,clReleaseMemObject|General,END,,,,,,,,,,,30,
42180.22548,WRITE_BUFFER,END,0X5fc64000|HP0|0Xffffadcd4170,8194,,,,,,,4,None,
42180.24729,clReleaseMemObject|General,START,,,,,,,,,,,31,
42180.33588,clReleaseMemObject|General,END,,,,,,,,,,,31,
42180.358,clReleaseMemObject|General,START,,,,,,,,,,,32,
42180.37949,clReleaseMemObject|General,END,,,,,,,,,,,32,
42180.4055,clRetainEvent|General,START,,,,,,,,,,,33,
42180.43002,clRetainEvent|General,END,,,,,,,,,,,33,
42180.50274,clEnqueueWaitForEvents|187651718594416,START,,,,,,,,,,,34,
42180.54178,clEnqueueWaitForEvents|187651718594416,END,,,,,,,,,,,34,
42180.56655,clRetainEvent|General,START,,,,,,,,,,,35,
42180.58834,clRetainEvent|General,END,,,,,,,,,,,35,
42180.61302,clEnqueueTask|187651718594416,START,,,,,,,,,,,36,
42180.6655,DEPENDENCY_EVENT,,4,6,
42180.71818,DEPENDENCY_EVENT,,6,7,
42180.93842,KERNEL|edge-0|LZW_hybrid_hash_HW|LZW_hybrid_hash_HW|1:1:1|all,QUEUE,0XAAAB1206DDE0,1,,,,,,,,,
42181.01319,KERNEL|edge-0|LZW_hybrid_hash_HW|LZW_hybrid_hash_HW|1:1:1|all,SUBMIT,0XAAAB1206DDE0,1,,,,,,,,,
42181.04798,KERNEL|edge-0|LZW_hybrid_hash_HW|LZW_hybrid_hash_HW|1:1:1|all,START,0XAAAB1206DDE0,1,,,,,,,7,None,
42181.31995,clEnqueueTask|187651718594416,END,,,,,,,,,,,36,
42181.34979,clRetainEvent|General,START,,,,,,,,,,,37,
42181.37272,clRetainEvent|General,END,,,,,,,,,,,37,
42181.39365,clRetainMemObject|General,START,,,,,,,,,,,38,
42181.41675,clRetainMemObject|General,END,,,,,,,,,,,38,
42181.43809,clRetainMemObject|General,START,,,,,,,,,,,39,
42181.45964,clRetainMemObject|General,END,,,,,,,,,,,39,
42181.48059,clRetainMemObject|General,START,,,,,,,,,,,40,
42181.502,clRetainMemObject|General,END,,,,,,,,,,,40,
42181.52242,clRetainMemObject|General,START,,,,,,,,,,,41,
42181.54357,clRetainMemObject|General,END,,,,,,,,,,,41,
42181.56536,clEnqueueMigrateMemObjects|187651718594416,START,,,,,,,,,,,42,
42181.5962,DEPENDENCY_EVENT,,7,8,
