Profile Summary
Generated on: 2021-04-28 05:47:21
Msec since Epoch: 1619588841224
Target platform: 
Tool version: 2020.2
XRT build version: 2.8.0
Build version branch: 2020.2
Build version hash: f19a872233fbfe2eb933f25fa3d9a780ced774e5
Build version date: N/A 
Target devices: edge-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateProgramWithBinary,1,88.1601,88.1601,88.1601,88.1601,
clFinish,276,85.8682,0.02027,0.311117,5.44231,
clEnqueueMigrateMemObjects,270,59.8732,0.18676,0.221753,0.94321,
clEnqueueTask,90,26.1167,0.20776,0.290186,1.10787,
clReleaseMemObject,736,17.2537,0.02086,0.0234425,0.23723,
clRetainMemObject,720,16.3057,0.02081,0.0226468,0.15709,
clCreateKernel,4,15.0765,3.67685,3.76912,3.9557,
clCreateContext,1,12.2714,12.2714,12.2714,12.2714,
clSetKernelArg,360,8.95401,0.02072,0.0248722,0.18328,
clEnqueueUnmapMemObject,16,3.06149,0.17713,0.191343,0.27396,
clCreateBuffer,16,2.84297,0.05868,0.177686,1.28357,
clReleaseProgram,1,1.88078,1.88078,1.88078,1.88078,
clEnqueueMapBuffer,16,1.63139,0.05559,0.101962,0.63593,
clReleaseKernel,4,0.72847,0.1394,0.182118,0.29752,
clReleaseContext,1,0.19486,0.19486,0.19486,0.19486,
clGetPlatformIDs,2,0.1396,0.02679,0.0698,0.11281,
clCreateCommandQueue,4,0.11711,0.02517,0.0292775,0.03888,
clReleaseCommandQueue,4,0.11512,0.02267,0.02878,0.04464,
clGetDeviceIDs,2,0.05735,0.02177,0.028675,0.03558,
clGetPlatformInfo,2,0.04845,0.02158,0.024225,0.02687,
clReleaseDevice,2,0.04685,0.02125,0.023425,0.0256,
clGetDeviceInfo,1,0.04428,0.04428,0.04428,0.04428,
clRetainDevice,2,0.04378,0.02084,0.02189,0.02294,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
krnl_LZW,23,32.9864,0.45842,1.43419,4.12705,
krnl_LZW,23,94.917,1.20051,4.12682,7.26843,
krnl_LZW,22,71.2577,1.15704,3.23899,5.93356,
krnl_LZW,22,67.4932,0.55643,3.06787,6.9664,


Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,90,0.307833,0.003207,0.024,7.016790,0.077964,
context0:1,WRITE,196,358.851736,3.738039,15.7196,8.585830,0.043805,


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
187650293193056,krnl_LZW,0,1,edge-0,3920.08,7.26843,1:1:1,1:1:1,
187650293193984,krnl_LZW,0,3,edge-0,3992.73,6.9664,1:1:1,1:1:1,
187650293193056,krnl_LZW,0,1,edge-0,3961.6,6.84624,1:1:1,1:1:1,
187650293193264,krnl_LZW,0,2,edge-0,4133.54,5.93356,1:1:1,1:1:1,
187650293193056,krnl_LZW,0,1,edge-0,4163.44,5.92259,1:1:1,1:1:1,
187650293193056,krnl_LZW,0,1,edge-0,3977.31,5.80084,1:1:1,1:1:1,
187650293193056,krnl_LZW,0,1,edge-0,4146.64,5.53982,1:1:1,1:1:1,
187650293193264,krnl_LZW,0,2,edge-0,3948.84,5.17714,1:1:1,1:1:1,
187650293193056,krnl_LZW,0,1,edge-0,4203.02,5.10694,1:1:1,1:1:1,
187650293193056,krnl_LZW,0,1,edge-0,4177.43,4.84421,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
1606877184,0,1,4117.38,0.144390,32.768,226.940924,
1606844416,0,0,4142.95,0.143850,32.768,227.792840,
1392529408,0,0,3914.7,0.105150,0.008,0.076082,
1606942720,0,3,3960.82,0.059410,32.768,551.556977,
1392529408,0,0,4014.86,0.056690,0.008,0.141118,
1392529408,0,0,4128.93,0.055920,0.008,0.143062,
1392529408,0,0,3973.08,0.055600,0.008,0.143885,
1606844416,0,0,3915.22,0.055090,32.768,594.808495,
1392529408,0,0,4116.01,0.054980,0.008,0.145507,
1392529408,0,0,3987.86,0.054710,0.008,0.146226,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
1395552256,0,0,3924.24,0.357140,0.024,0.067201,
1395552256,0,0,4147.89,0.201030,0.024,0.119385,
1543032832,0,1,4110.93,0.177320,0.024,0.135349,
1530441728,0,3,3970.07,0.150810,0.024,0.159141,
1395552256,0,0,4008.95,0.090270,0.024,0.265869,
1395552256,0,0,4164.65,0.088360,0.024,0.271616,
1395552256,0,0,4058.85,0.083120,0.024,0.288739,
1395552256,0,0,3949.72,0.082890,0.024,0.289540,
1530441728,0,3,3984.82,0.082830,0.024,0.289750,
1395552256,0,0,3978.46,0.082560,0.024,0.290698,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,edge-0,298.893760,
CU_CALLS,edge-0|krnl_LZW_1,23,
CU_CALLS,edge-0|krnl_LZW_2,37,
CU_CALLS,edge-0|krnl_LZW_3,22,
CU_CALLS,edge-0|krnl_LZW_4,8,
NUM_MONITORS,edge-0|XCL_PERF_MON_ACCEL|0,0,
NUM_MONITORS,edge-0|XCL_PERF_MON_MEMORY|0,0,
NUM_MONITORS,edge-0|XCL_PERF_MON_STR|0,0,
MIGRATE_MEM,host,270,
MEMORY_USAGE,edge-0|HP0,1,
MEMORY_USAGE,edge-0|HP1,1,
MEMORY_USAGE,edge-0|HP2,1,
MEMORY_USAGE,edge-0|HP3,1,
MEMORY_USAGE,edge-0|HPC0,0,
MEMORY_USAGE,edge-0|HPC1,0,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,krnl_LZW_1/m_axi_gmem,64,
PORT_BIT_WIDTH,krnl_LZW_2/m_axi_gmem,64,
PORT_BIT_WIDTH,krnl_LZW_3/m_axi_gmem,64,
PORT_BIT_WIDTH,krnl_LZW_4/m_axi_gmem,64,
KERNEL_COUNT,krnl_LZW,4,
OBJECTS_RELEASED,all,1,
TRACE_MEMORY,all,FIFO,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,krnl_LZW,1,
COMMAND_QUEUE_OOO,187650293158368,1,
COMMAND_QUEUE_OOO,187650293220816,1,
COMMAND_QUEUE_OOO,187650293221520,1,
COMMAND_QUEUE_OOO,187650293222480,1,
KERNEL_BUFFER_INFO,krnl_LZW|input_r|HP0|1,32768,
KERNEL_BUFFER_INFO,krnl_LZW|input_length|HP0|1,8,
KERNEL_BUFFER_INFO,krnl_LZW|send_data|HP0|1,16,
KERNEL_BUFFER_INFO,krnl_LZW|output_length|HP0|1,8,
KERNEL_BUFFER_INFO,krnl_LZW|input_r|HP0|1,32768,
KERNEL_BUFFER_INFO,krnl_LZW|input_length|HP0|1,8,
KERNEL_BUFFER_INFO,krnl_LZW|send_data|HP0|1,16,
KERNEL_BUFFER_INFO,krnl_LZW|output_length|HP0|1,8,
KERNEL_BUFFER_INFO,krnl_LZW|input_r|HP0|1,32768,
KERNEL_BUFFER_INFO,krnl_LZW|input_length|HP0|1,8,
KERNEL_BUFFER_INFO,krnl_LZW|send_data|HP0|1,16,
KERNEL_BUFFER_INFO,krnl_LZW|output_length|HP0|1,8,
KERNEL_BUFFER_INFO,krnl_LZW|input_r|HP0|1,32768,
KERNEL_BUFFER_INFO,krnl_LZW|input_length|HP0|1,8,
KERNEL_BUFFER_INFO,krnl_LZW|send_data|HP0|1,16,
KERNEL_BUFFER_INFO,krnl_LZW|output_length|HP0|1,8,
MEMORY_TYPE_BIT_WIDTH,edge-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,edge-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,edge-0|PLRAM,512,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,data_transfer_trace,fine,
XRT_INI_SETTING,launch_waveform,batch,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,profile,1,
XRT_INI_SETTING,stall_trace,all,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
BUFFER_RD_ACTIVE_TIME_MS,all,7.01679,
BUFFER_WR_ACTIVE_TIME_MS,all,8.58583,
BUFFER_TX_ACTIVE_TIME_MS,all,308.033,
APPLICATION_RUN_TIME_MS,all,4236.13,
TOTAL_KERNEL_RUN_TIME_MS,all,298.894,


