Timeline Trace
Generated on: 2021-04-30 05:41:54
Msec since Epoch: 1619761314458
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.8.0
Build version branch: 2020.2
Build version hash: f19a872233fbfe2eb933f25fa3d9a780ced774e5
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
20.92772,clGetPlatformIDs|General,START,,,,,,,,,,,0,
21.05463,clGetPlatformIDs|General,END,,,,,,,,,,,0,
21.10425,clGetPlatformIDs|General,START,,,,,,,,,,,1,
21.13049,clGetPlatformIDs|General,END,,,,,,,,,,,1,
21.16166,clGetPlatformInfo|General,START,,,,,,,,,,,2,
21.18733,clGetPlatformInfo|General,END,,,,,,,,,,,2,
21.20874,clGetPlatformInfo|General,START,,,,,,,,,,,3,
21.23072,clGetPlatformInfo|General,END,,,,,,,,,,,3,
21.33729,clGetDeviceIDs|General,START,,,,,,,,,,,4,
21.36961,clGetDeviceIDs|General,END,,,,,,,,,,,4,
21.39164,clGetDeviceIDs|General,START,,,,,,,,,,,5,
21.41288,clGetDeviceIDs|General,END,,,,,,,,,,,5,
21.44025,clRetainDevice|General,START,,,,,,,,,,,6,
21.46431,clRetainDevice|General,END,,,,,,,,,,,6,
21.48541,clRetainDevice|General,START,,,,,,,,,,,7,
21.50608,clRetainDevice|General,END,,,,,,,,,,,7,
21.53154,clCreateContext|General,START,,,,,,,,,,,8,
34.20163,clCreateContext|General,END,,,,,,,,,,,8,
52.02172,clCreateProgramWithBinary|General,START,,,,,,,,,,,9,
137.541,clCreateProgramWithBinary|General,END,,,,,,,,,,,9,
137.66006,clCreateCommandQueue|General,START,,,,,,,,,,,10,
137.71548,clCreateCommandQueue|General,END,,,,,,,,,,,10,
137.74377,clCreateKernel|General,START,,,,,,,,,,,11,
141.56353,clCreateKernel|General,END,,,,,,,,,,,11,
141.59048,clCreateKernel|General,START,,,,,,,,,,,12,
145.27135,clCreateKernel|General,END,,,,,,,,,,,12,
145.29635,clCreateKernel|General,START,,,,,,,,,,,13,
149.01563,clCreateKernel|General,END,,,,,,,,,,,13,
149.04106,clCreateKernel|General,START,,,,,,,,,,,14,
