Timeline Trace
Generated on: 2021-04-30 06:52:53
Msec since Epoch: 1619765573695
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.8.0
Build version branch: 2020.2
Build version hash: f19a872233fbfe2eb933f25fa3d9a780ced774e5
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
151.71172,clGetPlatformIDs|General,START,,,,,,,,,,,0,
151.84429,clGetPlatformIDs|General,END,,,,,,,,,,,0,
151.89346,clGetPlatformIDs|General,START,,,,,,,,,,,1,
151.91897,clGetPlatformIDs|General,END,,,,,,,,,,,1,
151.94928,clGetPlatformInfo|General,START,,,,,,,,,,,2,
151.97685,clGetPlatformInfo|General,END,,,,,,,,,,,2,
151.99839,clGetPlatformInfo|General,START,,,,,,,,,,,3,
152.02026,clGetPlatformInfo|General,END,,,,,,,,,,,3,
152.11779,clGetDeviceIDs|General,START,,,,,,,,,,,4,
152.15032,clGetDeviceIDs|General,END,,,,,,,,,,,4,
152.17201,clGetDeviceIDs|General,START,,,,,,,,,,,5,
152.19343,clGetDeviceIDs|General,END,,,,,,,,,,,5,
152.21981,clRetainDevice|General,START,,,,,,,,,,,6,
152.24438,clRetainDevice|General,END,,,,,,,,,,,6,
152.266,clRetainDevice|General,START,,,,,,,,,,,7,
152.28714,clRetainDevice|General,END,,,,,,,,,,,7,
152.31224,clCreateContext|General,START,,,,,,,,,,,8,
164.39915,clCreateContext|General,END,,,,,,,,,,,8,
460.13739,clCreateProgramWithBinary|General,START,,,,,,,,,,,9,
576.7818,clCreateProgramWithBinary|General,END,,,,,,,,,,,9,
576.89641,clCreateKernel|General,START,,,,,,,,,,,10,
580.81716,clCreateKernel|General,END,,,,,,,,,,,10,
580.8563,clCreateCommandQueue|General,START,,,,,,,,,,,11,
580.897,clCreateCommandQueue|General,END,,,,,,,,,,,11,
580.92073,clCreateKernel|General,START,,,,,,,,,,,12,
584.59805,clCreateKernel|General,END,,,,,,,,,,,12,
584.62288,clCreateCommandQueue|General,START,,,,,,,,,,,13,
584.64992,clCreateCommandQueue|General,END,,,,,,,,,,,13,
584.67213,clCreateKernel|General,START,,,,,,,,,,,14,
588.33627,clCreateKernel|General,END,,,,,,,,,,,14,
588.36115,clCreateCommandQueue|General,START,,,,,,,,,,,15,
588.38712,clCreateCommandQueue|General,END,,,,,,,,,,,15,
588.40924,clCreateKernel|General,START,,,,,,,,,,,16,
592.0905,clCreateKernel|General,END,,,,,,,,,,,16,
592.11596,clCreateCommandQueue|General,START,,,,,,,,,,,17,
592.14115,clCreateCommandQueue|General,END,,,,,,,,,,,17,
601.93999,clCreateBuffer|General,START,,,,,,,,,,,18,
614.01519,clCreateBuffer|General,END,,,,,,,,,,,18,
614.05814,clCreateBuffer|General,START,,,,,,,,,,,19,
614.30713,clCreateBuffer|General,END,,,,,,,,,,,19,
614.33463,clCreateBuffer|General,START,,,,,,,,,,,20,
614.40399,clCreateBuffer|General,END,,,,,,,,,,,20,
614.42856,clCreateBuffer|General,START,,,,,,,,,,,21,
614.48727,clCreateBuffer|General,END,,,,,,,,,,,21,
614.51934,clEnqueueMapBuffer|187650621844736,START,,,,,,,,,,,22,
615.18837,clEnqueueMapBuffer|187650621844736,END,,,,,,,,,,,22,
615.22275,clEnqueueMapBuffer|187650621844736,START,,,,,,,,,,,23,
615.29822,clEnqueueMapBuffer|187650621844736,END,,,,,,,,,,,23,
615.32785,clEnqueueMapBuffer|187650621844736,START,,,,,,,,,,,24,
615.39127,clEnqueueMapBuffer|187650621844736,END,,,,,,,,,,,24,
615.41825,clCreateBuffer|General,START,,,,,,,,,,,25,
615.83716,clCreateBuffer|General,END,,,,,,,,,,,25,
615.86361,clCreateBuffer|General,START,,,,,,,,,,,26,
616.06771,clCreateBuffer|General,END,,,,,,,,,,,26,
616.0937,clCreateBuffer|General,START,,,,,,,,,,,27,
616.15971,clCreateBuffer|General,END,,,,,,,,,,,27,
616.18449,clCreateBuffer|General,START,,,,,,,,,,,28,
616.24303,clCreateBuffer|General,END,,,,,,,,,,,28,
616.2675,clEnqueueMapBuffer|187650621932144,START,,,,,,,,,,,29,
616.33755,clEnqueueMapBuffer|187650621932144,END,,,,,,,,,,,29,
616.36581,clEnqueueMapBuffer|187650621932144,START,,,,,,,,,,,30,
616.42431,clEnqueueMapBuffer|187650621932144,END,,,,,,,,,,,30,
616.45187,clEnqueueMapBuffer|187650621932144,START,,,,,,,,,,,31,
616.50817,clEnqueueMapBuffer|187650621932144,END,,,,,,,,,,,31,
616.53469,clCreateBuffer|General,START,,,,,,,,,,,32,
616.83175,clCreateBuffer|General,END,,,,,,,,,,,32,
616.85826,clCreateBuffer|General,START,,,,,,,,,,,33,
617.05816,clCreateBuffer|General,END,,,,,,,,,,,33,
617.08424,clCreateBuffer|General,START,,,,,,,,,,,34,
617.14949,clCreateBuffer|General,END,,,,,,,,,,,34,
617.1743,clCreateBuffer|General,START,,,,,,,,,,,35,
617.23272,clCreateBuffer|General,END,,,,,,,,,,,35,
617.25738,clEnqueueMapBuffer|187650621932848,START,,,,,,,,,,,36,
617.32098,clEnqueueMapBuffer|187650621932848,END,,,,,,,,,,,36,
617.34871,clEnqueueMapBuffer|187650621932848,START,,,,,,,,,,,37,
617.40562,clEnqueueMapBuffer|187650621932848,END,,,,,,,,,,,37,
617.43227,clEnqueueMapBuffer|187650621932848,START,,,,,,,,,,,38,
617.48905,clEnqueueMapBuffer|187650621932848,END,,,,,,,,,,,38,
617.5155,clCreateBuffer|General,START,,,,,,,,,,,39,
617.72468,clCreateBuffer|General,END,,,,,,,,,,,39,
617.74996,clCreateBuffer|General,START,,,,,,,,,,,40,
617.95255,clCreateBuffer|General,END,,,,,,,,,,,40,
617.97833,clCreateBuffer|General,START,,,,,,,,,,,41,
618.04225,clCreateBuffer|General,END,,,,,,,,,,,41,
618.06685,clCreateBuffer|General,START,,,,,,,,,,,42,
618.14163,clCreateBuffer|General,END,,,,,,,,,,,42,
618.16648,clEnqueueMapBuffer|187650621933808,START,,,,,,,,,,,43,
618.22887,clEnqueueMapBuffer|187650621933808,END,,,,,,,,,,,43,
618.25631,clEnqueueMapBuffer|187650621933808,START,,,,,,,,,,,44,
618.31287,clEnqueueMapBuffer|187650621933808,END,,,,,,,,,,,44,
